"","X.","Age","Sex","Job","Housing","Saving.accounts","Checking.account","Credit.amount","Duration","Purpose","Credit.Risks"
"802",801,48,"female",1,"rent","little","moderate",1795,18,"radio/TV",1
"803",802,24,"female",2,"own","little","little",4272,20,"furniture/equipment",1
"806",805,24,"male",2,"own","little","little",9271,36,"car",2
"807",806,26,"male",1,"own","little","moderate",590,6,"radio/TV",1
"809",808,55,"male",3,"free","little","moderate",9283,42,"car",1
"810",809,26,"female",0,"rent","little","moderate",1778,15,"car",2
"811",810,26,"male",2,"own","little","moderate",907,8,"business",1
"812",811,28,"male",1,"own","little","moderate",484,6,"radio/TV",1
"813",812,24,"male",2,"own","little","little",9629,36,"car",2
"814",813,54,"male",2,"own","little","little",3051,48,"domestic appliances",2
"815",814,46,"male",2,"free","little","little",3931,48,"car",2
"816",815,54,"female",2,"rent","little","moderate",7432,36,"car",1
"819",818,43,"male",3,"own","little","little",15857,36,"vacation/others",1
"820",819,26,"male",2,"own","little","little",1345,18,"radio/TV",2
"822",821,24,"male",2,"own","little","rich",3016,12,"radio/TV",1
"823",822,41,"male",2,"own","little","little",2712,36,"furniture/equipment",2
"824",823,47,"male",1,"own","little","little",731,8,"car",1
"826",825,30,"male",2,"own","little","little",1602,21,"car",1
"827",826,33,"female",2,"rent","little","little",3966,18,"car",2
"832",831,23,"female",2,"rent","little","little",1216,18,"car",2
"833",832,29,"male",2,"rent","little","little",11816,45,"business",2
"835",834,25,"female",1,"own","little","rich",2327,15,"radio/TV",2
"836",835,48,"male",2,"own","little","little",1082,12,"car",2
"839",838,63,"male",2,"own","little","little",2957,24,"car",1
"841",840,29,"male",2,"own","little","little",5179,36,"furniture/equipment",2
"849",848,59,"male",2,"own","little","little",1364,9,"radio/TV",1
"850",849,57,"male",1,"own","little","little",709,12,"radio/TV",2
"851",850,33,"male",2,"rent","little","little",2235,20,"car",2
"854",853,32,"male",1,"free","little","little",1442,18,"car",2
"859",858,29,"female",2,"own","little","little",3959,15,"car",2
"863",862,35,"female",2,"own","little","little",2439,24,"radio/TV",2
"867",866,27,"female",2,"own","little","little",2389,18,"radio/TV",1
"870",869,24,"female",2,"rent","little","little",652,12,"furniture/equipment",1
"872",871,46,"male",2,"own","little","rich",1343,6,"car",1
"873",872,26,"male",2,"own","moderate","little",1382,24,"business",1
"875",874,29,"male",1,"own","little","little",3590,12,"furniture/equipment",1
"876",875,40,"female",2,"own","rich","moderate",1322,11,"car",1
"877",876,36,"male",3,"free","little","little",1940,18,"radio/TV",1
"879",878,27,"male",3,"free","little","little",1422,9,"car",2
"885",884,43,"male",2,"own","little","moderate",4057,24,"furniture/equipment",2
"886",885,53,"female",2,"own","little","little",795,12,"education",2
"888",887,23,"male",2,"own","little","moderate",15672,48,"business",2
"891",890,43,"male",3,"own","little","little",2442,27,"business",1
"893",892,38,"male",1,"own","little","little",2171,12,"car",1
"894",893,34,"male",2,"own","little","moderate",5800,36,"car",1
"897",896,28,"female",3,"rent","little","little",2606,21,"radio/TV",1
"900",899,42,"male",2,"own","little","little",4153,18,"furniture/equipment",2
"901",900,43,"male",2,"rent","little","little",2625,16,"car",2
"906",905,20,"male",3,"rent","little","little",1107,12,"radio/TV",1
"912",911,25,"female",1,"own","little","moderate",4736,24,"furniture/equipment",2
"915",914,31,"male",2,"rent","little","little",3161,24,"business",2
"916",915,32,"female",3,"own","little","moderate",18424,48,"vacation/others",2
"918",917,68,"male",3,"own","little","little",14896,6,"car",2
"919",918,33,"male",2,"own","moderate","little",2359,24,"furniture/equipment",2
"920",919,39,"male",3,"rent","little","little",3345,24,"furniture/equipment",2
"923",922,22,"female",2,"rent","little","little",1366,9,"radio/TV",2
"924",923,30,"male",2,"rent","little","moderate",2002,12,"car",1
"925",924,55,"male",2,"own","little","little",6872,24,"furniture/equipment",2
"926",925,46,"male",2,"own","little","little",697,12,"car",2
"927",926,21,"female",2,"rent","little","little",1049,18,"furniture/equipment",1
"928",927,39,"male",2,"free","little","little",10297,48,"car",2
"930",929,43,"male",1,"own","little","little",1344,12,"car",1
"931",930,24,"male",1,"own","little","little",1747,24,"furniture/equipment",1
"932",931,22,"female",2,"own","little","moderate",1670,9,"radio/TV",2
"935",934,23,"female",2,"own","little","little",1498,12,"radio/TV",1
"936",935,30,"male",3,"own","moderate","moderate",1919,30,"radio/TV",2
"937",936,28,"female",1,"own","little","rich",745,9,"radio/TV",2
"938",937,30,"male",3,"rent","little","moderate",2063,6,"radio/TV",1
"939",938,42,"male",2,"free","little","moderate",6288,60,"education",2
"945",944,46,"female",2,"rent","little","little",1845,15,"furniture/equipment",1
"946",945,30,"female",2,"own","quite rich","moderate",8358,48,"car",1
"947",946,30,"male",2,"free","quite rich","little",3349,24,"furniture/equipment",2
"951",950,40,"male",0,"own","little","moderate",3590,18,"business",1
"952",951,24,"male",2,"own","little","little",2145,36,"business",2
"953",952,28,"female",2,"rent","quite rich","moderate",4113,24,"car",2
"955",954,29,"female",2,"own","little","little",1893,12,"car",1
"956",955,57,"female",3,"rent","rich","little",1231,24,"radio/TV",1
"958",957,37,"male",1,"own","little","moderate",1154,9,"radio/TV",1
"959",958,45,"male",1,"own","little","little",4006,28,"car",2
"960",959,30,"male",2,"free","moderate","moderate",3069,24,"furniture/equipment",1
"962",961,47,"male",2,"own","little","moderate",2353,21,"car",1
"965",964,22,"male",1,"own","little","moderate",454,6,"repairs",1
"967",966,23,"male",1,"own","quite rich","moderate",2520,27,"radio/TV",2
"970",969,40,"male",1,"own","little","little",3939,11,"car",1
"971",970,22,"male",2,"own","moderate","moderate",1514,15,"repairs",1
"973",972,29,"female",0,"rent","little","little",1193,24,"car",2
"974",973,36,"male",2,"rent","little","little",7297,60,"business",2
"976",975,57,"female",1,"own","quite rich","rich",1258,24,"radio/TV",1
"977",976,64,"female",2,"own","little","moderate",753,6,"radio/TV",1
"980",979,25,"male",2,"rent","moderate","moderate",1264,15,"car",2
"981",980,49,"male",2,"own","little","moderate",8386,30,"furniture/equipment",2
"983",982,28,"female",3,"own","moderate","rich",2923,21,"car",1
"984",983,26,"male",2,"own","little","little",8229,36,"car",2
"986",985,25,"female",2,"rent","little","little",1433,15,"furniture/equipment",1
"987",986,33,"male",2,"own","little","rich",6289,42,"business",1
"989",988,29,"male",3,"free","little","little",6579,24,"car",1
"990",989,48,"male",1,"own","little","moderate",1743,24,"radio/TV",1
"994",993,30,"male",3,"own","little","little",3959,36,"furniture/equipment",1
"997",996,40,"male",3,"own","little","little",3857,30,"car",1
"999",998,23,"male",2,"free","little","little",1845,45,"radio/TV",2
"1000",999,27,"male",2,"own","moderate","moderate",4576,45,"car",1
